Customer ID,Customer Name,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Colour,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code,Previous Purchase Count,Payment Method,Frequency of Purchases
CUST00032,Ishaan Gupta,25,Male,Trousers,Clothing,46.12,Coimbatore,XL,Gold,Winter,1.2,No,Free Shipping,No,No Promo,37,Wallet,Weekly
CUST00033,Arun Pillai,70,Female,Watch,Accessories,8.84,Madurai,Free Size,Orange,Winter,3.2,No,Store Pickup,No,No Promo,31,Debit Card,Monthly
CUST00034,Suresh Das,43,Female,Heels,Footwear,82.97,Indore,6,Red,Winter,3.4,No,Standard,No,No Promo,8,Net Banking,Fortnightly
CUST00035,Neha Gupta,19,Male,Sunglasses,Accessories,54.41,Surat,Free Size,Navy Blue,Autumn,4.3,No,Store Pickup,Yes,FEST15,14,Wallet,Weekly
CUST00036,Aditya Sharma,65,Female,Compact Powder,Makeup,12.97,Chennai,Free Size,Purple,Summer,2.9,Yes,Express,No,No Promo,16,UPI,Fortnightly
CUST00037,Ayaan Rao,54,Female,Face Wash,Cosmetics,10.05,Chennai,Free Size,Orange,Winter,4.8,Yes,Store Pickup,No,No Promo,40,Debit Card,Weekly
CUST00038,Sunita Nair,60,Female,T-Shirts,Clothing,41.04,Nagpur,XXL,Brown,Spring,3.0,No,Free Shipping,No,No Promo,6,Net Banking,Monthly
CUST00039,Kavya Reddy,56,Female,Flip Flops,Footwear,29.26,Visakhapatnam,10,Beige,Winter,2.9,No,Store Pickup,Yes,No Promo,15,Credit Card,Monthly
CUST00040,Kavya Naidu,44,Male,Sneakers,Footwear,44.97,Kochi,7,Yellow,Winter,1.8,No,Next-Day,Yes,FLAT50,44,UPI,Annually
CUST00041,Saanvi Iyer,16,Female,Compact Powder,Makeup,33.8,Kochi,Free Size,Silver,Winter,2.8,Yes,Next-Day,Yes,SEASON25,15,UPI,Rarely
CUST00042,Swati Krishnan,53,Male,Slippers,Footwear,53.7,Bhopal,7,Brown,Winter,2.1,Yes,Standard,No,No Promo,20,Credit Card,Rarely
CUST00043,Diya Gupta,50,Female,Mascara,Makeup,34.54,Jaipur,Free Size,White,Summer,2.2,No,Next-Day,Yes,FLAT50,8,UPI,Weekly
CUST00044,Krishna Chopra,19,Female,Jackets,Clothing,80.45,Patna,M,Silver,Winter,2.8,Yes,Standard,Yes,No Promo,30,Credit Card,Weekly
CUST00045,Arun Verma,41,Female,Kurtis,Clothing,26.19,Patna,M,Black,Summer,1.5,No,Store Pickup,No,No Promo,39,Debit Card,Annually
CUST00046,Meera Patel,40,Female,Flip Flops,Footwear,41.93,Chandigarh,5,White,Summer,3.5,Yes,Standard,Yes,SAVE20,35,Credit Card,Fortnightly
CUST00047,Sunita Chopra,16,Male,Sunscreen,Cosmetics,5.83,Lucknow,Free Size,Gold,Spring,3.7,No,Store Pickup,No,No Promo,12,Net Banking,Weekly
CUST00048,Ishaan Singh,50,Male,Kurtis,Clothing,20.36,Kolkata,M,Maroon,Winter,1.5,No,Free Shipping,No,No Promo,32,Cash on Delivery,Quarterly
CUST00049,Aditya Joshi,44,Male,Perfume,Cosmetics,37.81,Chennai,Free Size,Purple,Spring,5.0,No,Next-Day,No,No Promo,48,Debit Card,Quarterly
CUST00050,Riya Rao,49,Female,Flip Flops,Footwear,74.21,Kochi,5,Silver,Autumn,2.6,No,Standard,No,No Promo,21,Net Banking,Rarely
CUST00051,Ramesh Murthy,47,Male,T-Shirts,Clothing,49.11,Coimbatore,M,Grey,Spring,4.9,No,Store Pickup,No,No Promo,0,Wallet,Annually
CUST00052,Saanvi Krishnan,45,Male,Sandals,Footwear,73.02,Kochi,10,Gold,Spring,1.8,No,Next-Day,No,No Promo,44,Net Banking,Weekly
CUST00053,Sunita Kumar,17,Other,Lipstick,Makeup,17.43,Chennai,Free Size,Black,Summer,5.0,No,Free Shipping,No,No Promo,41,Debit Card,Quarterly
CUST00054,Riya Joshi,61,Male,Watch,Accessories,147.19,Ahmedabad,Free Size,Green,Winter,1.8,No,Express,No,No Promo,17,Net Banking,Monthly
CUST00055,Aarav Patel,66,Female,Face Wash,Cosmetics,50.9,Patna,Free Size,Green,Winter,3.2,No,Store Pickup,No,No Promo,24,Net Banking,Monthly
CUST00056,Myra Naidu,28,Other,Sneakers,Footwear,34.89,Nagpur,5,Grey,Winter,3.8,No,Free Shipping,No,No Promo,50,Wallet,Fortnightly
CUST00057,Krishna Krishnan,47,Female,Body Lotion,Cosmetics,52.7,Indore,Free Size,Multicolor,Winter,1.1,Yes,Express,Yes,No Promo,16,UPI,Annually
CUST00058,Sai Das,60,Male,Sneakers,Footwear,105.51,Kochi,9,Blue,Spring,1.9,No,Next-Day,No,No Promo,47,Credit Card,Quarterly
CUST00059,Reyansh Mehta,22,Female,Lipstick,Makeup,32.76,Chennai,Free Size,Grey,Spring,2.2,No,Express,Yes,NEWUSER,36,Wallet,Fortnightly
CUST00060,Geeta Pillai,26,Male,Compact Powder,Makeup,24.91,Patna,Free Size,Purple,Winter,3.6,No,Standard,No,No Promo,29,UPI,Rarely
CUST00061,Meera Menon,50,Male,Face Wash,Cosmetics,39.78,Nagpur,Free Size,Gold,Autumn,1.8,No,Free Shipping,Yes,NEWUSER,36,UPI,Annually
CUST00062,Sneha Sharma,34,Other,Heels,Footwear,38.9,Patna,10,Blue,Winter,4.3,No,Express,No,No Promo,22,Debit Card,Rarely
CUST00063,Krishna Nair,28,Female,T-Shirts,Clothing,38.17,Indore,XS,Brown,Summer,1.4,Yes,Free Shipping,Yes,SAVE20,50,Cash on Delivery,Monthly
CUST00064,Riya Rao,49,Female,Face Cream,Cosmetics,55.19,Kochi,Free Size,Grey,Spring,2.9,Yes,Express,No,No Promo,46,Wallet,Quarterly
CUST00065,Karthik Iyer,70,Female,Heels,Footwear,13.36,Bhopal,5,Gold,Autumn,3.7,No,Store Pickup,Yes,SEASON25,23,Credit Card,Rarely
CUST00066,Geeta Murthy,30,Female,Perfume,Cosmetics,55.25,Ahmedabad,Free Size,Gold,Autumn,3.6,Yes,Standard,No,No Promo,19,Net Banking,Weekly
CUST00067,Nisha Reddy,22,Male,Sneakers,Footwear,56.46,Bhopal,8,Green,Winter,3.6,No,Store Pickup,No,No Promo,17,Credit Card,Rarely
CUST00068,Meera Kumar,39,Male,Sandals,Footwear,21.74,Madurai,9,Brown,Spring,2.6,Yes,Standard,No,No Promo,29,Credit Card,Rarely
CUST00069,Sunita Sharma,29,Female,Jeans,Clothing,74.01,Ahmedabad,S,Pink,Spring,4.3,No,Store Pickup,Yes,No Promo,14,UPI,Fortnightly
CUST00070,Aarav Singh,66,Female,Kurtis,Clothing,89.06,Bhopal,M,Yellow,Spring,3.6,Yes,Standard,Yes,No Promo,15,Cash on Delivery,Monthly
CUST00071,Vihaan Reddy,17,Male,Formal Shoes,Footwear,63.56,Delhi,8,Gold,Autumn,3.1,Yes,Store Pickup,Yes,FLAT50,2,Wallet,Rarely
CUST00072,Vivaan Verma,49,Male,Watch,Accessories,128.32,Nagpur,Free Size,Silver,Winter,1.3,Yes,Store Pickup,Yes,SAVE20,17,Cash on Delivery,Rarely
CUST00073,Neha Pillai,53,Female,Earrings,Accessories,49.88,Visakhapatnam,Free Size,White,Spring,4.4,No,Store Pickup,No,No Promo,13,Net Banking,Quarterly
CUST00074,Kavya Pillai,30,Male,Formal Shoes,Footwear,83.5,Coimbatore,8,Grey,Autumn,2.5,Yes,Free Shipping,Yes,No Promo,5,Credit Card,Quarterly
CUST00075,Karthik Reddy,22,Female,Jeans,Clothing,58.98,Bhopal,XL,Grey,Spring,2.6,No,Free Shipping,No,No Promo,46,Credit Card,Monthly
CUST00076,Reyansh Naidu,54,Male,Scarf,Accessories,38.21,Kochi,Free Size,White,Autumn,4.4,No,Next-Day,No,No Promo,27,Cash on Delivery,Annually
CUST00077,Swati Sharma,55,Female,Moisturizer,Cosmetics,5.62,Jaipur,Free Size,Grey,Autumn,1.0,No,Store Pickup,No,No Promo,4,Debit Card,Rarely
CUST00078,Sai Krishnan,56,Other,Mascara,Makeup,20.05,Indore,Free Size,Yellow,Autumn,2.2,No,Store Pickup,No,No Promo,3,Debit Card,Fortnightly
CUST00079,Sai Singh,64,Female,Handbag,Accessories,102.0,Kochi,Free Size,Navy Blue,Autumn,1.9,No,Next-Day,No,No Promo,18,Wallet,Rarely
CUST00080,Pooja Verma,53,Female,Lip Gloss,Makeup,20.81,Chandigarh,Free Size,Red,Summer,2.2,Yes,Express,No,No Promo,18,UPI,Weekly
CUST00081,Divya Rao,16,Female,Sarees,Clothing,43.52,Ahmedabad,XL,Brown,Spring,2.6,No,Free Shipping,Yes,WELCOME10,20,Cash on Delivery,Quarterly
CUST00082,Lakshmi Patel,52,Male,Sweaters,Clothing,45.38,Coimbatore,S,Gold,Autumn,1.4,No,Express,No,No Promo,25,Cash on Delivery,Weekly
CUST00083,Anjali Kumar,41,Female,Body Lotion,Cosmetics,47.63,Delhi,Free Size,Multicolor,Summer,4.6,No,Express,Yes,SAVE20,16,Debit Card,Fortnightly
CUST00084,Arjun Rao,54,Male,Belt,Accessories,73.88,Patna,Free Size,Grey,Autumn,1.6,Yes,Free Shipping,No,No Promo,50,UPI,Annually
CUST00085,Arjun Patel,19,Male,Sunglasses,Accessories,72.17,Mumbai,Free Size,Maroon,Spring,3.6,No,Standard,No,No Promo,32,Net Banking,Quarterly
CUST00086,Aditya Mehta,53,Female,Eyeliner,Makeup,17.86,Kochi,Free Size,Blue,Winter,1.4,No,Next-Day,No,No Promo,5,Cash on Delivery,Rarely
CUST00087,Meera Mehta,27,Male,Earrings,Accessories,82.23,Kolkata,Free Size,Brown,Autumn,2.5,No,Store Pickup,Yes,SEASON25,41,UPI,Weekly
CUST00088,Suresh Patel,37,Male,Face Cream,Cosmetics,44.53,Chandigarh,Free Size,Grey,Spring,3.3,Yes,Next-Day,Yes,SEASON25,44,Wallet,Quarterly
CUST00089,Sai Patel,24,Female,Sneakers,Footwear,75.06,Coimbatore,6,Multicolor,Spring,3.6,No,Next-Day,Yes,FEST15,11,Debit Card,Monthly
CUST00090,Kiara Reddy,65,Female,Kurtis,Clothing,20.79,Bengaluru,XL,Multicolor,Spring,3.6,No,Store Pickup,Yes,NEWUSER,9,Debit Card,Fortnightly
CUST00091,Geeta Rao,69,Female,Handbag,Accessories,14.2,Madurai,Free Size,Gold,Autumn,4.0,No,Express,No,No Promo,19,Net Banking,Fortnightly
CUST00092,Arun Mehta,39,Female,Sunglasses,Accessories,117.26,Surat,Free Size,Yellow,Summer,4.2,Yes,Next-Day,Yes,NEWUSER,23,Cash on Delivery,Weekly
CUST00093,Ayaan Patel,61,Female,Skirts,Clothing,72.23,Jaipur,L,Multicolor,Summer,4.3,Yes,Express,No,No Promo,22,Credit Card,Quarterly
CUST00094,Karthik Kumar,19,Male,Sneakers,Footwear,109.46,Madurai,6,Red,Autumn,4.7,No,Next-Day,No,No Promo,8,Credit Card,Monthly
CUST00095,Krishna Chopra,69,Female,Handbag,Accessories,95.38,Delhi,Free Size,Beige,Summer,4.3,No,Store Pickup,No,No Promo,7,UPI,Fortnightly
CUST00096,Myra Joshi,35,Male,Sunglasses,Accessories,16.92,Kochi,Free Size,Multicolor,Summer,3.9,Yes,Standard,No,No Promo,15,Cash on Delivery,Quarterly
CUST00097,Sai Krishnan,27,Female,Sandals,Footwear,18.63,Visakhapatnam,9,Multicolor,Spring,2.6,No,Free Shipping,No,No Promo,16,Wallet,Weekly
CUST00098,Rahul Kumar,38,Female,Jackets,Clothing,72.86,Coimbatore,S,Blue,Autumn,3.2,No,Express,No,No Promo,43,Net Banking,Rarely
CUST00099,Krishna Iyer,46,Female,Sunglasses,Accessories,13.25,Pune,Free Size,Pink,Spring,2.3,No,Free Shipping,No,No Promo,34,Net Banking,Monthly
CUST00100,Saanvi Patel,18,Female,Slippers,Footwear,96.49,Mumbai,10,Grey,Autumn,1.5,No,Free Shipping,No,No Promo,24,UPI,Fortnightly
CUST00101,Karthik Krishnan,47,Female,Moisturizer,Cosmetics,48.86,Nagpur,Free Size,Navy Blue,Summer,3.2,No,Standard,Yes,FEST15,19,Net Banking,Annually
CUST00102,Meera Menon,61,Male,Handbag,Accessories,14.01,Madurai,Free Size,Beige,Spring,1.3,No,Next-Day,No,No Promo,47,Wallet,Fortnightly
CUST00103,Sunita Mehta,17,Male,T-Shirts,Clothing,24.47,Ahmedabad,XXL,Brown,Autumn,2.5,No,Store Pickup,Yes,NEWUSER,23,UPI,Quarterly
CUST00104,Krishna Krishnan,64,Male,Sandals,Footwear,51.01,Jaipur,6,White,Spring,3.9,No,Free Shipping,No,No Promo,7,UPI,Monthly
CUST00105,Geeta Patel,61,Female,Belt,Accessories,36.43,Hyderabad,Free Size,Gold,Summer,4.6,No,Standard,No,No Promo,20,Wallet,Monthly
CUST00106,Nisha Patel,61,Male,Face Wash,Cosmetics,51.68,Kolkata,Free Size,Multicolor,Summer,1.5,Yes,Express,Yes,NEWUSER,1,UPI,Annually
CUST00107,Swati Reddy,52,Male,Skirts,Clothing,19.93,Surat,XXL,Silver,Winter,4.1,No,Standard,Yes,FEST15,41,Credit Card,Quarterly
CUST00108,Rahul Reddy,45,Female,Foundation,Makeup,35.71,Hyderabad,Free Size,Multicolor,Spring,4.3,No,Next-Day,Yes,FEST15,45,Debit Card,Monthly
CUST00109,Sai Singh,49,Female,Eyeliner,Makeup,30.4,Bhopal,Free Size,Green,Autumn,3.5,Yes,Express,No,No Promo,37,Debit Card,Fortnightly
CUST00110,Sunita Das,58,Female,T-Shirts,Clothing,76.89,Chennai,XS,Blue,Autumn,3.6,No,Free Shipping,No,No Promo,1,Net Banking,Rarely
CUST00111,Pooja Chopra,50,Male,Compact Powder,Makeup,37.19,Surat,Free Size,Gold,Spring,3.8,Yes,Free Shipping,No,No Promo,13,UPI,Annually
CUST00112,Neha Menon,25,Male,Heels,Footwear,24.82,Madurai,9,White,Autumn,2.0,Yes,Free Shipping,Yes,WELCOME10,3,UPI,Quarterly
CUST00113,Ananya Das,55,Male,Perfume,Cosmetics,14.63,Kolkata,Free Size,Multicolor,Winter,3.0,No,Standard,Yes,NEWUSER,32,Net Banking,Fortnightly
CUST00114,Vihaan Verma,29,Female,Sunscreen,Cosmetics,31.71,Kochi,Free Size,Red,Spring,2.7,No,Next-Day,No,No Promo,23,Credit Card,Quarterly
CUST00115,Saanvi Menon,19,Female,Sunscreen,Cosmetics,8.12,Visakhapatnam,Free Size,Beige,Spring,1.5,Yes,Next-Day,No,No Promo,21,Cash on Delivery,Monthly
CUST00116,Sunita Krishnan,64,Male,Heels,Footwear,61.01,Mumbai,5,Green,Autumn,4.2,No,Express,No,No Promo,32,Debit Card,Monthly
CUST00117,Ramesh Bose,55,Male,Face Wash,Cosmetics,37.25,Visakhapatnam,Free Size,Maroon,Winter,4.3,No,Standard,No,No Promo,37,UPI,Rarely
CUST00118,Sunita Chopra,60,Female,Face Cream,Cosmetics,58.16,Patna,Free Size,Blue,Winter,1.7,No,Store Pickup,No,No Promo,24,Debit Card,Rarely
CUST00119,Ayaan Gupta,31,Male,Tops,Clothing,48.08,Nagpur,S,Navy Blue,Summer,2.6,No,Free Shipping,No,No Promo,47,Wallet,Weekly
CUST00120,Aadhya Murthy,61,Male,Perfume,Cosmetics,59.89,Kochi,Free Size,Grey,Summer,2.8,No,Store Pickup,Yes,No Promo,46,Wallet,Rarely
CUST00121,Geeta Chopra,67,Female,Eyeliner,Makeup,43.29,Jaipur,Free Size,Purple,Autumn,4.1,No,Free Shipping,Yes,FEST15,35,Wallet,Monthly
CUST00122,Nisha Pillai,34,Male,Heels,Footwear,92.2,Hyderabad,7,Blue,Autumn,4.8,Yes,Free Shipping,No,No Promo,47,Net Banking,Fortnightly
CUST00123,Riya Murthy,28,Female,Moisturizer,Cosmetics,11.69,Chandigarh,Free Size,Purple,Spring,3.7,No,Express,Yes,NEWUSER,21,Wallet,Quarterly
CUST00124,Krishna Sharma,22,Female,Lipstick,Makeup,21.28,Kochi,Free Size,Pink,Autumn,2.3,No,Standard,No,No Promo,14,Cash on Delivery,Rarely
CUST00125,Aditya Rao,62,Female,Formal Shoes,Footwear,98.46,Kolkata,5,Orange,Winter,1.7,No,Next-Day,No,No Promo,0,UPI,Annually
CUST00126,Anjali Patel,54,Male,Sunglasses,Accessories,148.45,Bhopal,Free Size,Green,Winter,2.1,No,Next-Day,Yes,NEWUSER,41,UPI,Rarely
CUST00127,Anjali Patel,27,Male,Eyeliner,Makeup,12.02,Surat,Free Size,Multicolor,Autumn,1.3,No,Express,No,No Promo,30,UPI,Fortnightly
CUST00128,Myra Mehta,16,Male,Moisturizer,Cosmetics,57.43,Lucknow,Free Size,Beige,Autumn,3.8,Yes,Standard,No,No Promo,10,Net Banking,Rarely
CUST00129,Pooja Nair,48,Female,Sunscreen,Cosmetics,24.58,Ahmedabad,Free Size,Green,Winter,1.6,No,Store Pickup,Yes,SEASON25,35,Net Banking,Annually
CUST00130,Aadhya Kumar,67,Female,Skirts,Clothing,54.41,Visakhapatnam,XXL,Brown,Spring,4.7,Yes,Store Pickup,No,No Promo,12,Cash on Delivery,Annually
CUST00131,Deepak Mehta,25,Male,Sweaters,Clothing,66.02,Patna,L,Black,Winter,4.2,No,Store Pickup,No,No Promo,36,Credit Card,Annually
CUST00132,Pooja Sharma,45,Female,Heels,Footwear,36.94,Chennai,10,Pink,Spring,1.2,No,Standard,No,No Promo,3,Credit Card,Quarterly
CUST00133,Diya Reddy,18,Male,Formal Shoes,Footwear,48.7,Surat,8,Orange,Winter,1.3,No,Store Pickup,Yes,No Promo,22,Credit Card,Fortnightly
CUST00134,Krishna Kumar,50,Male,Dresses,Clothing,71.71,Lucknow,L,Navy Blue,Winter,4.3,Yes,Next-Day,Yes,SAVE20,46,Credit Card,Weekly
CUST00135,Geeta Sharma,67,Female,Compact Powder,Makeup,13.24,Bengaluru,Free Size,Gold,Spring,2.0,Yes,Free Shipping,Yes,SAVE20,48,Credit Card,Fortnightly
CUST00136,Kiara Naidu,48,Other,Perfume,Cosmetics,36.34,Coimbatore,Free Size,Maroon,Summer,4.9,No,Free Shipping,Yes,WELCOME10,35,Cash on Delivery,Rarely
CUST00137,Divya Murthy,27,Female,Belt,Accessories,14.66,Madurai,Free Size,Multicolor,Autumn,3.8,No,Next-Day,Yes,No Promo,34,Net Banking,Fortnightly
CUST00138,Ishaan Mehta,70,Male,Jeans,Clothing,57.18,Nagpur,XL,Multicolor,Summer,2.6,Yes,Next-Day,No,No Promo,28,UPI,Weekly
CUST00139,Saanvi Verma,50,Female,Moisturizer,Cosmetics,25.12,Chandigarh,Free Size,Black,Summer,4.2,No,Store Pickup,Yes,SAVE20,21,UPI,Weekly
CUST00140,Ayaan Chopra,29,Female,Compact Powder,Makeup,32.83,Pune,Free Size,Purple,Autumn,4.1,No,Store Pickup,No,No Promo,19,UPI,Monthly
CUST00141,Kavya Nair,48,Female,Watch,Accessories,116.15,Coimbatore,Free Size,Brown,Autumn,2.7,No,Express,No,No Promo,1,UPI,Annually
CUST00142,Lakshmi Patel,53,Female,Kurtis,Clothing,29.71,Ahmedabad,L,Purple,Winter,3.2,No,Next-Day,Yes,No Promo,31,Wallet,Rarely
CUST00143,Ananya Menon,63,Female,Lipstick,Makeup,10.6,Bhopal,Free Size,Yellow,Spring,3.1,No,Standard,No,No Promo,42,Credit Card,Weekly
CUST00144,Kiara Iyer,42,Male,Kurtis,Clothing,15.69,Visakhapatnam,L,Brown,Spring,3.5,No,Store Pickup,No,No Promo,42,Net Banking,Weekly
CUST00145,Lakshmi Sharma,16,Female,Tops,Clothing,54.71,Jaipur,XL,Maroon,Spring,3.0,No,Free Shipping,No,No Promo,11,Credit Card,Weekly
CUST00146,Saanvi Bose,49,Male,Earrings,Accessories,43.84,Madurai,Free Size,Orange,Spring,2.5,No,Store Pickup,Yes,SEASON25,14,UPI,Rarely
CUST00147,Aditya Iyer,68,Female,Heels,Footwear,49.17,Bhopal,8,Blue,Spring,3.8,Yes,Free Shipping,No,No Promo,21,Cash on Delivery,Weekly
CUST00148,Kiara Gupta,49,Female,Watch,Accessories,46.5,Delhi,Free Size,Blue,Summer,4.7,No,Express,No,No Promo,48,Wallet,Quarterly
CUST00149,Arun Kumar,20,Male,Sneakers,Footwear,78.35,Bhopal,7,Orange,Summer,4.2,No,Standard,No,No Promo,22,Credit Card,Weekly
CUST00150,Arjun Das,43,Male,Heels,Footwear,106.95,Coimbatore,5,Beige,Winter,3.0,No,Free Shipping,No,No Promo,43,Cash on Delivery,Rarely
CUST00151,Geeta Patel,40,Male,Compact Powder,Makeup,33.52,Delhi,Free Size,Green,Winter,3.8,No,Free Shipping,Yes,WELCOME10,5,Credit Card,Monthly
CUST00152,Riya Nair,44,Male,Sarees,Clothing,21.55,Nagpur,L,Multicolor,Winter,1.4,Yes,Store Pickup,Yes,FLAT50,50,UPI,Quarterly
CUST00153,Suresh Iyer,16,Male,Compact Powder,Makeup,27.88,Kolkata,Free Size,Yellow,Summer,2.1,Yes,Express,Yes,NEWUSER,17,Net Banking,Monthly
CUST00154,Karthik Singh,46,Female,Compact Powder,Makeup,33.84,Kochi,Free Size,Gold,Spring,1.5,Yes,Free Shipping,Yes,FLAT50,24,UPI,Quarterly
CUST00155,Sunita Reddy,37,Male,Face Wash,Cosmetics,21.96,Pune,Free Size,Grey,Summer,4.9,No,Next-Day,No,No Promo,40,Net Banking,Annually
CUST00156,Suresh Singh,66,Male,Heels,Footwear,47.77,Patna,6,Yellow,Spring,4.8,No,Express,No,No Promo,18,Wallet,Weekly
CUST00157,Lakshmi Chopra,68,Female,Sarees,Clothing,62.5,Ahmedabad,M,Green,Winter,4.2,Yes,Store Pickup,No,No Promo,25,Cash on Delivery,Annually
CUST00158,Aditya Menon,60,Male,Skirts,Clothing,23.2,Ahmedabad,XXL,Brown,Summer,3.6,Yes,Free Shipping,No,No Promo,21,Net Banking,Weekly
CUST00159,Kiara Krishnan,16,Male,Earrings,Accessories,87.24,Patna,Free Size,Gold,Autumn,2.6,No,Store Pickup,No,No Promo,9,UPI,Weekly
